Model	1	2	3	4	5	6	7	8	9	10	11	12
1	0.000	0.578	0.945	0.834	1.145	1.038	0.988	0.850	1.658	0.792	0.770	1.769
2	0.578	0.000	1.080	1.012	1.150	1.223	1.083	0.898	1.779	0.683	0.884	1.847
3	0.945	1.080	0.000	0.337	0.745	0.537	0.411	0.562	1.771	1.022	0.907	1.773
4	0.834	1.012	0.337	0.000	0.738	0.538	0.434	0.534	1.710	0.981	0.868	1.713
5	1.145	1.150	0.745	0.738	0.000	0.849	0.740	0.739	1.898	1.032	1.017	1.894
6	1.038	1.223	0.537	0.538	0.849	0.000	0.519	0.665	1.788	1.226	0.974	1.751
7	0.988	1.083	0.411	0.434	0.740	0.519	0.000	0.508	1.806	1.026	0.945	1.747
8	0.850	0.898	0.562	0.534	0.739	0.665	0.508	0.000	1.730	0.876	0.936	1.776
9	1.658	1.779	1.771	1.710	1.898	1.788	1.806	1.730	0.000	1.812	1.667	2.139
10	0.792	0.683	1.022	0.981	1.032	1.226	1.026	0.876	1.812	0.000	0.724	1.840
11	0.770	0.884	0.907	0.868	1.017	0.974	0.945	0.936	1.667	0.724	0.000	1.768
12	1.769	1.847	1.773	1.713	1.894	1.751	1.747	1.776	2.139	1.840	1.768	0.000
