9 cavities found for Pan troglodytes.cif #1
Pan troglodytes.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
1.1.1		220.54	206.36	1021	7.4	2.92
1.1.3		53.57	64.59	248	2.55	0.6
1.1.5		49.03	87.54	227	0	0
1.1.4		37.37	59.33	173	0	0
1.1.7		23.33	42.6	108	3.5	1.36
1.1.2		20.95	29.01	97	1.7	0.42
1.1.9		16.85	32.3	78	0	0
1.1.6		12.31	29.54	57	0	0
1.1.8		10.37	19.37	48	1.2	0.29

5 cavities found for Pan troglodytes 2.cif #2
Pan troglodytes 2.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
2.1.1		275.62	277.89	1276	7.32	2.16
2.1.3		36.72	68.49	170	0	0
2.1.5		32.62	62.2	151	0	0
2.1.2		12.31	29.54	57	0	0
2.1.4		6.91	13.39	32	0.85	0.27

15 cavities found for Acinonyx jubatus.cif #3
Acinonyx jubatus.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
3.1.4		195.05	208.08	903	0	0
3.1.2		49.68	63.31	230	1.7	0.46
3.1.10		22.9	38.32	106	2.16	0.6
3.1.11		20.52	40.82	95	0	0
3.1.8		19.87	36.19	92	0	0
3.1.6		19.01	32.78	88	1.8	0.69
3.1.13		16.85	32.3	78	0	0
3.1.9		15.77	26.45	73	1.8	0.61
3.1.5		12.74	24.22	59	1.7	0.54
3.1.14		12.31	29.54	57	0	0
3.1.15		12.31	29.54	57	0	0
3.1.7		9.5	19.83	44	1.34	0.59
3.1.1		8.86	14.78	41	0.6	0.2
3.1.3		6.7	12.62	31	0.6	0.14
3.1.12		5.18	12.83	24	0.85	0.29

9 cavities found for Aotus nancymaae.cif #4
Aotus nancymaae.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
4.1.5		200.66	205.93	929	0	0
4.1.8		118.58	124.59	549	3.6	1.17
4.1.1		23.54	38.46	109	2.16	0.62
4.1.7		19.87	36.19	92	0	0
4.1.9		19.87	36.19	92	0	0
4.1.3		19.22	31.78	89	1.8	0.55
4.1.4		12.31	29.54	57	0	0
4.1.6		11.88	27.62	55	2.16	1.18
4.1.2		5.62	14.2	26	0.85	0.31

7 cavities found for callithrix_jacchus.cif #5
callithrix_jacchus.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
5.1.2		192.67	201.58	892	0	0
