Model	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1	0.000	0.266	0.654	0.681	0.454	0.526	0.549	0.534	0.499	1.739	0.395	0.460	0.506	0.416	1.058	0.566	0.505	0.614	0.614	0.399	0.494	0.512	0.522	0.486	1.500	1.023	0.588	0.580	0.486	0.588	1.410	0.613	0.591	0.537	0.549	0.560
2	0.266	0.000	0.612	0.611	0.415	0.490	0.508	0.533	0.454	1.784	0.391	0.409	0.485	0.431	1.088	0.485	0.436	0.544	0.607	0.437	0.469	0.482	0.458	0.448	1.511	1.049	0.566	0.541	0.510	0.522	1.486	0.572	0.487	0.472	0.519	0.543
3	0.654	0.612	0.000	0.681	0.612	0.634	0.707	0.689	0.595	1.767	0.554	0.567	0.521	0.648	1.157	0.662	0.603	0.630	0.242	0.629	0.584	0.565	0.523	0.502	1.502	1.125	0.522	0.234	0.465	0.425	1.503	0.594	0.626	0.573	0.589	0.727
4	0.681	0.611	0.681	0.000	0.584	0.318	0.322	0.369	0.397	1.891	0.559	0.520	0.443	0.643	1.172	0.349	0.668	0.297	0.745	0.508	0.402	0.370	0.386	0.562	1.485	1.158	0.747	0.614	0.716	0.654	1.620	0.313	0.462	0.491	0.501	0.388
5	0.454	0.415	0.612	0.584	0.000	0.425	0.541	0.560	0.549	1.838	0.453	0.341	0.510	0.404	0.938	0.496	0.367	0.551	0.625	0.402	0.433	0.529	0.522	0.442	1.577	1.119	0.649	0.559	0.519	0.562	1.543	0.479	0.546	0.569	0.412	0.606
6	0.526	0.490	0.634	0.318	0.425	0.000	0.242	0.323	0.333	1.857	0.452	0.416	0.397	0.502	1.022	0.282	0.462	0.298	0.650	0.376	0.265	0.340	0.317	0.423	1.527	1.105	0.665	0.559	0.568	0.596	1.596	0.290	0.372	0.378	0.392	0.343
7	0.549	0.508	0.707	0.322	0.541	0.242	0.000	0.254	0.251	1.881	0.487	0.489	0.418	0.592	1.156	0.264	0.584	0.328	0.725	0.421	0.337	0.362	0.341	0.501	1.469	1.131	0.714	0.623	0.610	0.625	1.601	0.380	0.338	0.362	0.499	0.272
8	0.534	0.533	0.689	0.369	0.560	0.323	0.254	0.000	0.263	1.847	0.444	0.432	0.350	0.559	1.206	0.406	0.656	0.369	0.690	0.354	0.422	0.285	0.358	0.548	1.443	1.059	0.701	0.586	0.592	0.635	1.550	0.455	0.494	0.446	0.465	0.235
9	0.499	0.454	0.595	0.397	0.549	0.333	0.251	0.263	0.000	1.822	0.395	0.453	0.332	0.569	1.212	0.355	0.588	0.348	0.594	0.382	0.360	0.286	0.240	0.419	1.437	1.058	0.571	0.496	0.489	0.504	1.527	0.425	0.341	0.309	0.451	0.307
10	1.739	1.784	1.767	1.891	1.838	1.857	1.881	1.847	1.822	0.000	1.722	1.801	1.765	1.731	2.001	1.898	1.860	1.862	1.740	1.770	1.823	1.772	1.788	1.773	2.070	1.635	1.671	1.740	1.758	1.776	1.701	1.857	1.892	1.859	1.830	1.851
