XM_017537498.2  Cebus_imitator
XM_003919720.4  Saimiri_boliviensis
XM_033103891.1  Rhinolophus ferrumequinum ureidoimidazolin
XM_025462631.3  Canis_lupus_dingo
XM_046454329.1  Marmota_monax
XM_026388354.2  Urocitellus_parryii
XM_543153.7     Canis_lupus_familiaris
XM_002748915.6  Callithrix_jacchus
XM_005317058.3  Ictidomys_tridecemlineatus
XM_079138989.1  Sciurus_vulgaris
XM_047554574.1  Sciurus_carolinensis
NM_001105577.2  Homo_sapiens
XM_003314092.5  Pan_troglodytes
XM_012471071.2  Aotus_nancymaae
NM_001194734.3  Macaca_mulatta
XM_024755655.1  Neophocaena_asiaeorientalis_asiaeorientalis
XM_047079119.1  Lynx_rufus
XM_027064608.2  Acinonyx_jubatus
XM_032294386.1  Sapajus_apella
XM_058548570.1  Diceros_bicornis_minor
XM_036250763.1  Molossus_molossus
XM_007958636.1  Orycteropus_afer_afer
XM_019666044.1  Hipposideros_armiger
XM_038573392.1  Canis_lupus_familiaris
XM_543153.7     Canis_lupus_familiaris
XM_060637464.2  Panthera_onca
XM_006831939.1  Chrysochloris_asiatica
XM_080798456.1  Martes_martes
XM_072719885.1  Vulpes_vulpes
XM_003270214.1  Nomascus_leucogenys
XM_004054307.3  Gorilla_gorilla_gorilla
XM_003314092.5  Pan_troglodytes


